Player1,Player2,similarity,complementarity
hardeja01,bealbr01,0.7407945044660127,0.2592054955339873
hardeja01,lillada01,0.7026195455945736,0.2973804544054264
hardeja01,youngtr01,0.721714324257203,0.27828567574279695
hardeja01,antetgi01,0.5097549359698511,0.4902450640301489
hardeja01,doncilu01,0.6983214617779333,0.3016785382220667
hardeja01,westbru01,0.8058053768332613,0.19419462316673874
hardeja01,leonaka01,0.7289403746405437,0.27105962535945627
hardeja01,bookede01,0.6587227671863978,0.3412772328136022
hardeja01,davisan02,0.5511470422937821,0.4488529577062179
hardeja01,lavinza01,0.7333634370223991,0.26663656297760086
hardeja01,jamesle01,0.703630617310015,0.29636938268998503
hardeja01,mitchdo01,0.626027050724862,0.373972949275138
hardeja01,ingrabr01,0.6713609120314525,0.32863908796854746
hardeja01,tatumja01,0.6271491578706143,0.3728508421293857
hardeja01,russeda01,0.7012252614155206,0.29877473858447945
hardeja01,siakapa01,0.6164780618780986,0.3835219381219014
hardeja01,mccolcj01,0.5392374904723836,0.46076250952761644
hardeja01,derozde01,0.6325489021356122,0.3674510978643878
hardeja01,wiggian01,0.5615736218682235,0.43842637813177654
hardeja01,foxde01,0.722287258657019,0.27771274134298096
hardeja01,middlkh01,0.5818282576078704,0.4181717423921296
hardeja01,sextoco01,0.5486286270596048,0.4513713729403952
hardeja01,dinwisp01,0.5735120774707732,0.42648792252922685
hardeja01,walkeke02,0.5831424071831743,0.41685759281682566
hardeja01,porzikr01,0.4153485971724218,0.5846514028275782
hardeja01,brownja02,0.5470785451223374,0.45292145487766255
hardeja01,bogdabo02,0.4688478797442184,0.5311521202557816
hardeja01,butleji01,0.6907029229143045,0.30929707708569554
hardeja01,jokicni01,0.6840504106833962,0.3159495893166038
hardeja01,warretj01,0.46981133723419666,0.5301886627658033
hardeja01,harrito02,0.4931963728647931,0.5068036271352069
hardeja01,vucevni01,0.48243889574444365,0.5175611042555563
hardeja01,randlju01,0.5377773757117974,0.4622226242882026
hardeja01,lowryky01,0.7747487776802411,0.22525122231975891
hardeja01,hieldbu01,0.5509764211646928,0.4490235788353072
hardeja01,holidjr01,0.7375574202093229,0.2624425797906771
hardeja01,gilgesh01,0.5840654081819063,0.41593459181809367
hardeja01,schrode01,0.5594656732374836,0.44053432676251636
hardeja01,aldrila01,0.45007654526725016,0.5499234547327498
hardeja01,gallida01,0.4204837213351741,0.5795162786648259
hardeja01,oubreke01,0.5141261616963437,0.48587383830365627
hardeja01,harremo01,0.3485081468141751,0.6514918531858249
hardeja01,sabondo01,0.495336562845625,0.504663437154375
hardeja01,fournev01,0.5353531518403261,0.46464684815967394
hardeja01,murraja01,0.6200523490057523,0.37994765099424765
hardeja01,willilo02,0.5713519927081656,0.4286480072918344
hardeja01,grahade01,0.5915574216902928,0.4084425783097072
hardeja01,rosede01,0.5823453305293165,0.4176546694706835
hardeja01,roziete01,0.567301645016203,0.43269835498379705
hardeja01,moranja01,0.6713967189756491,0.3286032810243509
hardeja01,drumman01,0.3536425835259782,0.6463574164740218
hardeja01,vanvlfr01,0.6471521569055305,0.3528478430944695
hardeja01,loveke01,0.519013392471942,0.480986607528058
hardeja01,paulch01,0.6982747972838738,0.30172520271612624
hardeja01,haywago01,0.5383017966428052,0.4616982033571948
hardeja01,jacksja02,0.43952660812377486,0.5604733918762251
hardeja01,morrima03,0.45261354984621216,0.5473864501537878
