Pos,Player1,Player2,similarity,complementarity,similarity_ov,complementarity_ov,delta_sim,delta_com
SG,hardeja01,bealbr01,0.6930683544752371,0.30693164552476293,0.7407945044660127,0.2592054955339873,0.047726149990775624,0.047726149990775624
SG,hardeja01,antetgi01,0.4194886805807082,0.5805113194192918,0.5097549359698511,0.4902450640301489,0.0902662553891429,0.0902662553891429
SG,hardeja01,bookede01,0.5958851781601917,0.4041148218398083,0.6587227671863978,0.3412772328136022,0.06283758902620606,0.06283758902620606
SG,hardeja01,lavinza01,0.6842690435124235,0.31573095648757654,0.7333634370223991,0.2666365629776008,0.04909439350997569,0.04909439350997574
SG,hardeja01,mitchdo01,0.557169370709904,0.442830629290096,0.626027050724862,0.373972949275138,0.06885768001495796,0.06885768001495796
SG,hardeja01,mccolcj01,0.4543997033932984,0.5456002966067016,0.5392374904723836,0.4607625095276164,0.08483778707908518,0.08483778707908524
SG,hardeja01,derozde01,0.5648920564548406,0.43510794354515936,0.6325489021356122,0.3674510978643878,0.06765684568077157,0.06765684568077157
SG,hardeja01,middlkh01,0.5048324853608508,0.4951675146391492,0.5818282576078704,0.4181717423921296,0.07699577224701959,0.07699577224701959
SG,hardeja01,brownja02,0.46368449035895287,0.5363155096410471,0.5470785451223374,0.4529214548776625,0.08339405476338457,0.08339405476338463
SG,hardeja01,butleji01,0.6337536724275807,0.36624632757241926,0.6907029229143045,0.3092970770856955,0.056949250486723724,0.05694925048672378
SG,hardeja01,hieldbu01,0.4683000618971527,0.5316999381028473,0.5509764211646928,0.4490235788353072,0.08267635926754013,0.08267635926754013
SG,hardeja01,holidjr01,0.6892352428525022,0.31076475714749785,0.7375574202093229,0.2624425797906771,0.04832217735682076,0.04832217735682076
SG,hardeja01,gilgesh01,0.5074815507503054,0.49251844924969457,0.5840654081819063,0.4159345918180936,0.0765838574316009,0.07658385743160095
SG,hardeja01,schrode01,0.4783523954813941,0.5216476045186059,0.5594656732374836,0.4405343267625163,0.08111327775608956,0.08111327775608962
SG,hardeja01,fournev01,0.449800161837836,0.550199838162164,0.5353531518403261,0.4646468481596739,0.08555299000249006,0.08555299000249011
SG,hardeja01,murraja01,0.5500945784629723,0.4499054215370277,0.6200523490057523,0.3799476509942476,0.06995777054278007,0.06995777054278013
SG,hardeja01,willilo02,0.49242728068725594,0.5075727193127441,0.5713519927081656,0.4286480072918344,0.07892471202090967,0.07892471202090967
SG,hardeja01,vanvlfr01,0.5821841320233567,0.4178158679766433,0.6471521569055305,0.3528478430944695,0.06496802488217379,0.06496802488217379
SG,hardeja01,brogdma01,0.4991479458839688,0.5008520541160312,0.5770276321478642,0.4229723678521357,0.07787968626389541,0.07787968626389546
SG,hardeja01,brookdi01,0.36749727155011946,0.6325027284498805,0.4658478995408012,0.5341521004591988,0.09835062799068173,0.09835062799068173
SG,hardeja01,powelno01,0.40509673613431774,0.5949032638656823,0.4976008581928716,0.5023991418071284,0.09250412205855385,0.09250412205855385
SG,hardeja01,hardati02,0.26490981874117525,0.7350901812588247,0.3792122204616736,0.6207877795383264,0.11430240172049833,0.11430240172049833
SG,hardeja01,redicjj01,0.2323611296819651,0.7676388703180349,0.3517246700588802,0.6482753299411198,0.1193635403769151,0.1193635403769151
SG,hardeja01,clarkjo01,0.30301037945140263,0.6969896205485974,0.4113883576016951,0.5886116423983049,0.10837797815029249,0.10837797815029249
SG,hardeja01,bogdabo01,0.4256298819566017,0.5743701180433983,0.5149412149639603,0.4850587850360397,0.0893113330073586,0.0893113330073586
SG,hardeja01,bartowi01,0.4648678283160549,0.5351321716839451,0.5480778806617876,0.4519221193382123,0.08321005234573275,0.08321005234573281
SG,hardeja01,burksal01,0.3802261487676153,0.6197738512323847,0.4765975077185806,0.5234024922814193,0.09637135895096532,0.09637135895096538
SG,hardeja01,rosste01,0.3055649483894125,0.6944350516105875,0.4135457053926682,0.5864542946073318,0.10798075700325571,0.10798075700325571
SG,hardeja01,harrijo01,0.3166590615473226,0.6833409384526774,0.4229147461564176,0.5770852538435823,0.10625568460909501,0.10625568460909507
SG,hardeja01,barrerj01,0.38007975049623477,0.6199202495037652,0.4764738735575816,0.5235261264424184,0.09639412306134681,0.09639412306134687
SG,hardeja01,richajo01,0.4355645519616599,0.5644354480383401,0.5233310994844211,0.4766689005155788,0.08776654752276125,0.0877665475227613
SG,hardeja01,herroty01,0.33088354802465947,0.6691164519753405,0.4349274047396367,0.5650725952603632,0.10404385671497723,0.10404385671497729
SG,hardeja01,robindu01,0.23466153875785378,0.7653384612421462,0.3536673784212817,0.6463326215787183,0.11900583966342793,0.11900583966342793
SG,hardeja01,smartma01,0.5023881570361926,0.49761184296380745,0.579764008632964,0.420235991367036,0.0773758515967714,0.07737585159677146
SG,hardeja01,leeda03,0.39541979557610873,0.6045802044238913,0.489428627635299,0.510571372364701,0.09400883205919025,0.0940088320591903
